"url_bulletins","year","month","comorbidity","comorbidity_cases","comorbidity_percent"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,"Diarrea",112,"13.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,"Epatite",110,"12.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,"Cheratocongiuntivite",76,"8.8"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,"Stomatite",70,"8.1"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,"Polmonite",52,"6.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,"Insufficienza respiratoria",43,"5.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,"Otite",25,"2.9"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,"Laringotraccheobronchite",21,"2.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,"Trombocitopenia",20,"2.3"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,"Altra complicanza",17,"2.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,"Encefalite",2,"0.2"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,"Convulsi oni",1,"0.1"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,"Diarrea",147,"13.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,"Epatite",136,"12.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,"Cheratocongiuntivite",97,"8.9"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,"Stomatite",83,"7.6"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,"Polmonite",59,"5.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,"Insufficienza respiratoria",53,"4.8"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,"Laringotraccheobronchite",30,"2.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,"Otite",28,"2.6"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,"Trombocitopenia",28,"2.6"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,"Altra complicanza",22,"2.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,"Encefalite",2,"0.2"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,"Convulsi oni",1,"0.1"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,"Diarrea",170,"12.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,"Epatite",155,"11.6"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,"Cheratocongiuntivite",112,"8.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,"Stomatite",103,"7.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,"Polmonite",67,"5.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,"Insufficienza respiratoria",59,"4.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,"Trombocitopenia",35,"2.6"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,"Laringotraccheobronchite",33,"2.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,"Otite",31,"2.3"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,"Altra complicanza",24,"1.8"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,"Encefalite",1,"0.1"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,"Convulsi oni",1,"0.1"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,"Diarrea",201,"12.8"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,"Epatite",186,"11.8"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,"Cheratocongiuntivite",133,"8.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,"Stomatite",118,"7.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,"Polmonite",79,"5.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,"Insufficienza respiratoria",69,"4.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,"Trombocitopenia",39,"2.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,"Laringotraccheobronchite",39,"2.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,"Otite",38,"2.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,"Altra complicanza",27,"1.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,"Encefalite",3,"0.2"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,"Convulsi oni",2,"0.1"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,"Diarrea",203,"12.9"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,"Epatite",190,"12.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,"Cheratocongiuntivite",137,"8.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,"Stomatite",119,"7.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,"Polmonite",80,"5.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,"Insufficienza respiratoria",70,"4.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,"Laringotraccheobronchite",40,"2.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,"Trombocitopenia",39,"2.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,"Otite",38,"2.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,"Altra complicanza",27,"1.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,"Encefalite",3,"0.2"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,"Convulsi oni",2,"0.1"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,"Diarrea",205,"12.8"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,"Epatite",193,"12.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,"Cheratocongiuntivite",140,"8.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,"Stomatite",122,"7.6"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,"Polmonite",79,"4.9"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,"Insufficienza respiratoria",71,"4.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,"Laringotraccheobronchite",43,"2.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,"Trombocitopenia",38,"2.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,"Otite",38,"2.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,"Altra complicanza",27,"1.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,"Encefalite",3,"0.2"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,"Convulsi oni",2,"0.1"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,"Diarrea",207,"12.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,"Epatite",195,"12.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,"Cheratocongiuntivite",141,"8.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,"Stomatite",124,"7.6"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,"Polmonite",81,"5.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,"Insufficienza respiratoria",72,"4.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,"Laringotraccheobronchite",46,"2.8"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,"Trombocitopenia",39,"2.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,"Otite",39,"2.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,"Altra complicanza",28,"1.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,"Encefalite",3,"0.2"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,"Convulsi oni",2,"0.1"
