geography,school_year,estimate_pct,population_size,percent_surveyed,survey_type,categories
Pennsylvania,2020-21,95.5%,129307,95.0,Census (public). Voluntary Response (private),95%+
Rhode Island,2020-21,97.0%,10402,93.0,Census,95%+
South Carolina,2020-21,94.4%,56330,26.5,Stratified 1-stage Cluster Sample,90-94.9%
South Dakota,2020-21,94.6%,11512,99.9,Census,90-94.9%
Tennessee,2020-21,96.6%,73819,100,Census,95%+
Texas,2020-21,95.3%,377840,98.9,Census,95%+
Utah,2020-21,91.4%,46247,100,Census,90-94.9%
Vermont,2020-21,94.0%,5535,100,Census,90-94.9%
Virginia,2020-21,95.8%,88273,2.0,Stratified 2-stage Cluster Sample,95%+
Washington,2020-21,94.4%,74931,100,Census,90-94.9%
West Virginia,2020-21,NA,,NA,Not Conducted,NA
Wisconsin,2020-21,87.2%,63486,84.5,Voluntary Response,Less than 90%
Wyoming,2020-21,90.2%,6923,100,Census,90-94.9%
Alabama,2019-20,86.6%,59477,94.9,Census,Less than 90%
Alaska,2019-20,NA,10381,82.7,Voluntary Response,NA
Arizona,2019-20,92.8%,83976,98.7,Census (public). Voluntary Response (private),90-94.9%
Arkansas,2019-20,94.3%,39510,96.2,Census (public). Voluntary Response (private),90-94.9%
California,2019-20,96.5%,566155,97.9,Census,95%+
Colorado,2019-20,91.1%,69088,98.2,Census,90-94.9%
Connecticut,2019-20,96.2%,38888,100,Census,95%+
Delaware,2019-20,NA,,NA,Not Conducted,NA
District of Columbia,2019-20,NA,,NA,Not Conducted,NA
Florida,2019-20,93.5%,228298,100,Census,90-94.9%
Georgia,2019-20,93.1%,130102,100,Census,90-94.9%
Hawaii,2019-20,89.7%,15695,8.9,Stratified 2-stage Cluster Sample,Less than 90%
Idaho,2019-20,89.1%,23301,98.5,Census,Less than 90%
Illinois,2019-20,96.6%,145891,100,Census,95%+
Indiana,2019-20,94.4%,88253,65.7,Voluntary Response,90-94.9%
Iowa,2019-20,93.2%,40812,100,Census,90-94.9%
Kansas,2019-20,90.0%,37865,34.3,Stratified 2-stage Cluster Sample,90-94.9%
Kentucky,2019-20,93.1%,59233,92.9,Census,90-94.9%
Louisiana,2019-20,95.6%,59685,100,Census,95%+
Maine,2019-20,94.1%,13450,99.6,Census,90-94.9%
Maryland,2019-20,97.9%,72443,98.3,Census (public). Voluntary Response (private),95%+
Massachusetts,2019-20,97.3%,66756,100,Census,95%+
Michigan,2019-20,94.8%,120565,100,Census,90-94.9%
Minnesota,2019-20,92.6%,71223,98.7,Census,90-94.9%
Mississippi,2019-20,99.1%,37870,100,Census,95%+
Missouri,2019-20,94.6%,72324,100,Census,90-94.9%
Montana,2019-20,93.6%,12501,100,Census,90-94.9%
Nebraska,2019-20,96.3%,26893,96.7,Census,95%+
Nevada,2019-20,95.4%,37724,99.9,Census,95%+
New Hampshire,2019-20,91.5%,12447,100,Census,90-94.9%
New Jersey,2019-20,95.9%,107900,100,Census,95%+
New Mexico,2019-20,97.0%,23087,100,Census,95%+
New York,2019-20,98.6%,234165,99.9,Census,95%+
North Carolina,2019-20,95.5%,124548,97.8,Census,95%+
North Dakota,2019-20,94.8%,10587,99.5,Census,90-94.9%
Ohio,2019-20,92.4%,139103,98.8,Census,90-94.9%
Oklahoma,2019-20,93.0%,55348,85.6,Voluntary Response,90-94.9%
Oregon,2019-20,93.4%,45959,100,Census,90-94.9%
Pennsylvania,2019-20,96.6%,140197,98.8,Census,95%+
Rhode Island,2019-20,97.7%,11219,98.5,Census,95%+
South Carolina,2019-20,95.0%,65938,27.5,Stratified 1-stage Cluster Sample,95%+
South Dakota,2019-20,96.0%,12367,99.8,Census,95%+
Tennessee,2019-20,96.8%,80595,100,Census,95%+
Texas,2019-20,96.9%,398680,99.6,Census,95%+
Utah,2019-20,92.7%,49208,100,Census,90-94.9%
Vermont,2019-20,94.5%,6293,100,Census,90-94.9%
Virginia,2019-20,94.6%,99399,1.2,Stratified 2-stage Cluster Sample,90-94.9%
Washington,2019-20,94.4%,87757,91.9,Census,90-94.9%
West Virginia,2019-20,98.2%,17114,49.6,Voluntary Response,95%+
Wisconsin,2019-20,92.8%,67391,2.6,Stratified 2-stage Cluster Sample,90-94.9%
Wyoming,2019-20,94.5%,7913,100,Census,90-94.9%
Alabama,2018-19,90.6%,77739,100,Census,90-94.9%
Alaska,2018-19,NA,,NA,NA,NA
Arizona,2018-19,92.9%,79981,100,Census,90-94.9%
Arkansas,2018-19,94.2%,39257,95.4,Census (public). Voluntary Response (private),90-94.9%
California,2018-19,96.5%,568947,97.7,Census,95%+
Colorado,2018-19,87.4%,64191,100,Census,Less than 90%
Connecticut,2018-19,95.9%,38230,100,Census,95%+
Delaware,2018-19,97.8%,10798,9.5,Stratified 2-stage Cluster Sample,95%+
District of Columbia,2018-19,NA,,NA,NA,NA
Florida,2018-19,93.8%,224641,100,Census,90-94.9%
Georgia,2018-19,93.6%,131275,100,Census,90-94.9%
Hawaii,2018-19,91.5%,16051,6.7,Stratified 2-stage Cluster Sample,90-94.9%
Idaho,2018-19,89.5%,22995,99.0,Census,Less than 90%
Illinois,2018-19,94.7%,143876,100,Census,90-94.9%
Indiana,2018-19,91.2%,82324,96.4,Census,90-94.9%
Iowa,2018-19,93.3%,40624,100,Census,90-94.9%
Kansas,2018-19,90.8%,37838,23.1,Stratified 2-stage Cluster Sample,90-94.9%
Kentucky,2018-19,93.4%,55587,99.0,Census,90-94.9%
Louisiana,2018-19,95.5%,56203,100,Census,95%+
Maine,2018-19,93.8%,13419,95.9,Census,90-94.9%
Maryland,2018-19,97.4%,71431,100,Census,95%+
Massachusetts,2018-19,96.9%,65279,100,Census,95%+
Michigan,2018-19,94.6%,118632,100,Census,90-94.9%
Minnesota,2018-19,92.6%,70085,98.1,Census,90-94.9%
Mississippi,2018-19,99.2%,37775,100,Census,95%+
Missouri,2018-19,94.8%,72687,100,Census,90-94.9%
Montana,2018-19,93.3%,12480,100,Census,90-94.9%
Nebraska,2018-19,96.9%,26925,98.6,Census,95%+
Nevada,2018-19,95.1%,37971,4.8,Stratified 2-stage Cluster Sample,95%+
New Hampshire,2018-19,91.8%,12421,100,Census,90-94.9%
New Jersey,2018-19,95.0%,109161,100,Census,95%+
New Mexico,2018-19,96.1%,25269,99.6,Census,95%+
New York,2018-19,97.2%,220495,100,Census,95%+
North Carolina,2018-19,93.2%,124343,90.9,Census (public). Voluntary Response (private),90-94.9%
North Dakota,2018-19,93.6%,10382,99.4,Census,90-94.9%
Ohio,2018-19,91.6%,139679,94.9,Census (public). Voluntary Response (private),90-94.9%
Oklahoma,2018-19,92.2%,54806,92.1,Census (public). Voluntary Response (private),90-94.9%
Oregon,2018-19,93.0%,45870,100,Census,90-94.9%
Pennsylvania,2018-19,96.4%,143560,93.3,Census (public). Voluntary Response (private),95%+
Rhode Island,2018-19,97.4%,10964,100,Census,95%+
South Carolina,2018-19,94.2%,58442,27.0,Stratified 1-stage Cluster Sample,90-94.9%
South Dakota,2018-19,96.2%,12062,99.9,Census,95%+
Tennessee,2018-19,96.5%,78630,100,Census,95%+
Texas,2018-19,96.9%,390034,99.4,Census,95%+
Utah,2018-19,92.8%,50179,100,Census,90-94.9%
Vermont,2018-19,93.0%,6126,100,Census,90-94.9%
Virginia,2018-19,95.0%,100394,4.4,Stratified 2-stage Cluster Sample,95%+
Washington,2018-19,90.8%,87510,96.9,Census,90-94.9%
West Virginia,2018-19,98.8%,19442,79.3,Voluntary Response,95%+
Wisconsin,2018-19,92.6%,66344,2.3,Stratified 2-stage Cluster Sample,90-94.9%
Wyoming,2018-19,95.1%,7734,100,Census,95%+
Alabama,2017-18,92.7%,57245,100,Census,90-94.9%
Alaska,2017-18,91.6%,9692,84.4,Stratified 2-stage Cluster Sample,90-94.9%
Arizona,2017-18,93.4%,81710,100,Census,90-94.9%
Arkansas,2017-18,91.9%,39630,95.4,Census,90-94.9%
California,2017-18,96.9%,574702,100,Census,95%+
Colorado,2017-18,88.7%,65718,100,Census,Less than 90%
Connecticut,2017-18,96.5%,39174,100,Census,95%+
Delaware,2017-18,96.7%,10988,9.5,Stratified 2-stage Cluster Sample,95%+
Florida,2017-18,93.7%,222397,100,Census,90-94.9%
Georgia,2017-18,93.4%,131459,100,Census,90-94.9%
Hawaii,2017-18,95.6%,16325,6.6,Stratified 2-stage Cluster Sample,95%+
Idaho,2017-18,89.5%,22553,99.0,Census,Less than 90%
Illinois,2017-18,95.2%,144858,100,Census,95%+
Indiana,2017-18,90.4%,84296,96.4,Voluntary Response,90-94.9%
Iowa,2017-18,93.0%,39632,100,Census,90-94.9%
Kansas,2017-18,89.1%,38484,23.1,Stratified 2-stage Cluster Sample,Less than 90%
Kentucky,2017-18,92.6%,55152,99.0,Census,90-94.9%
Louisiana,2017-18,96.1%,58277,100,Census,95%+
Maine,2017-18,94.3%,13255,95.9,Census,90-94.9%
Maryland,2017-18,97.4%,68528,98.5,Census,95%+
Massachusetts,2017-18,96.3%,63377,100,Census,95%+
Michigan,2017-18,95.0%,119028,100,Census,95%+
Minnesota,2017-18,92.5%,69807,98.1,Census,90-94.9%
Mississippi,2017-18,99.4%,39284,100,Census,95%+
Missouri,2017-18,95.2%,73113,100,Census,95%+
Montana,2017-18,93.2%,12188,100,Census,90-94.9%
Nebraska,2017-18,96.2%,26313,98.6,Census,95%+
Nevada,2017-18,93.0%,37178,4.8,Stratified 2-stage Cluster Sample,90-94.9%
New Hampshire,2017-18,92.4%,12165,100,Census,90-94.9%
New Jersey,2017-18,96.1%,107630,100,Census,95%+
New Mexico,2017-18,94.8%,26896,99.6,Stratified 2-stage Cluster Sample,90-94.9%
New York,2017-18,97.2%,226456,100,Census,95%+
North Carolina,2017-18,97.0%,127197,90.9,Census,95%+
North Dakota,2017-18,94.2%,10365,99.4,Census,90-94.9%
Ohio,2017-18,92.1%,138753,94.9,Census,90-94.9%
Oklahoma,2017-18,92.6%,53898,92.1,Census (public). Voluntary Response (private),90-94.9%
Oregon,2017-18,93.2%,45818,100,Census,90-94.9%
Pennsylvania,2017-18,96.7%,141571,93.3,Voluntary Response,95%+
Rhode Island,2017-18,96.4%,11025,100,Census,95%+
South Carolina,2017-18,96.3%,58458,27.0,Stratified 1-stage Cluster Sample,95%+
South Dakota,2017-18,96.6%,12125,99.9,Census,95%+
Tennessee,2017-18,96.9%,78743,100,Census,95%+
Texas,2017-18,96.9%,387981,99.4,Census,95%+
Utah,2017-18,93.4%,48827,100,Census,90-94.9%
Vermont,2017-18,94.1%,6255,100,Census,90-94.9%
Virginia,2017-18,95.5%,100581,4.4,Stratified 2-stage Cluster Sample,95%+
Washington,2017-18,90.6%,85118,96.9,Census,90-94.9%
West Virginia,2017-18,98.4%,19519,79.3,Voluntary Response,95%+
Wisconsin,2017-18,91.8%,66178,2.3,Stratified 2-stage Cluster Sample,90-94.9%
Wyoming,2017-18,NA,,NA,Not Conducted,NA
Alabama,2016-17,93.8%,58394,100,Census,90-94.9%
Alaska,2016-17,89.0%,9815,7.6,Stratified 2-stage Cluster Sample,Less than 90%
Arizona,2016-17,94.0%,83627,100,Census,90-94.9%
Arkansas,2016-17,91.9%,39666,75.9,Voluntary Response,90-94.9%
California,2016-17,97.3%,575305,97.8,Census,95%+
Colorado,2016-17,87.3%,64440,100,Census,Less than 90%
Connecticut,2016-17,96.7%,39002,100,Census,95%+
Delaware,2016-17,98.5%,11490,9.3,Stratified 2-stage Cluster Sample,95%+
Florida,2016-17,94.1%,224463,100,Census,90-94.9%
Georgia,2016-17,93.3%,136165,100,Census,90-94.9%
Hawaii,2016-17,93.5%,16325,6.7,Stratified 2-stage Cluster Sample,90-94.9%
Idaho,2016-17,89.9%,22589,100,Census,Less than 90%
Illinois,2016-17,94.9%,151309,97.7,Census,90-94.9%
Indiana,2016-17,88.9%,83263,80.3,Voluntary Response,Less than 90%
Iowa,2016-17,92.6%,39587,100,Census,90-94.9%
Kansas,2016-17,89.5%,38298,22.9,Stratified 2-stage Cluster Sample,Less than 90%
Kentucky,2016-17,90.8%,51487,92.9,Census,90-94.9%
Louisiana,2016-17,97.1%,55257,100,Census,95%+
Maine,2016-17,94.9%,13834,90.1,Voluntary Response (public). Census (private),90-94.9%
Maryland,2016-17,97.9%,71467,98.1,Census,95%+
Massachusetts,2016-17,96.1%,70109,100,Census,95%+
Michigan,2016-17,95.6%,118777,100,Census,95%+
Minnesota,2016-17,92.8%,69140,96.7,Census,90-94.9%
Mississippi,2016-17,99.4%,40509,100,Census,95%+
Missouri,2016-17,95.4%,73355,100,Census,95%+
Montana,2016-17,93.8%,11956,100,Census,90-94.9%
Nebraska,2016-17,96.7%,27117,100,Census,95%+
Nevada,2016-17,90.9%,36885,3.7,Stratified 2-stage Cluster Sample,90-94.9%
New Hampshire,2016-17,91.5%,12145,100,Census,90-94.9%
New Jersey,2016-17,96.5%,109577,100,Census,95%+
New Mexico,2016-17,95.5%,27119,4.5,Stratified 2-stage Cluster Sample,95%+
New York,2016-17,97.3%,227050,100,Census,95%+
North Carolina,2016-17,96.2%,126454,88.2,Voluntary Response,95%+
North Dakota,2016-17,93.8%,9799,98.7,Census,90-94.9%
Ohio,2016-17,92.6%,137542,95.5,Census,90-94.9%
Oklahoma,2016-17,NA,52184,0,Census,NA
Oregon,2016-17,93.8%,45705,100,Census,90-94.9%
Pennsylvania,2016-17,93.6%,143888,84.4,Voluntary Response,90-94.9%
Rhode Island,2016-17,95.1%,11100,98.4,Census,95%+
South Carolina,2016-17,96.0%,59177,8.9,Stratified 1-stage Cluster Sample,95%+
South Dakota,2016-17,96.7%,12106,99.8,Census,95%+
Tennessee,2016-17,96.9%,78169,100,Census,95%+
Texas,2016-17,97.3%,389999,99.0,Census,95%+
Utah,2016-17,93.8%,49073,100,Census,90-94.9%
Vermont,2016-17,93.6%,6344,100,Census,90-94.9%
Virginia,2016-17,94.1%,102357,4.0,Stratified 2-stage Cluster Sample,90-94.9%
Washington,2016-17,90.5%,87142,98.2,Census,90-94.9%
