"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Measles","All cases","Reported cases","N","2016-07","AFR","Africa",1341,NA
"Measles","All cases","Reported cases","N","2016-08","AFR","Africa",1521,NA
"Measles","All cases","Reported cases","N","2016-09","AFR","Africa",1375,NA
"Measles","All cases","Reported cases","N","2016-10","AFR","Africa",1233,NA
"Measles","All cases","Reported cases","N","2016-11","AFR","Africa",1245,NA
"Measles","All cases","Reported cases","N","2016-12","AFR","Africa",4019,NA
"Measles","All cases","Reported cases","N","2017-01","AFR","Africa",3211,NA
"Measles","All cases","Reported cases","N","2017-02","AFR","Africa",2910,NA
"Measles","All cases","Reported cases","N","2017-03","AFR","Africa",3650,NA
"Measles","All cases","Reported cases","N","2017-04","AFR","Africa",2373,NA
"Measles","All cases","Reported cases","N","2017-05","AFR","Africa",2029,NA
"Measles","All cases","Reported cases","N","2017-06","AFR","Africa",1859,NA
"Measles","All cases","Reported cases","N","2017-07","AFR","Africa",1475,NA
"Measles","All cases","Reported cases","N","2017-08","AFR","Africa",1413,NA
"Measles","All cases","Reported cases","N","2017-09","AFR","Africa",1519,NA
"Measles","All cases","Reported cases","N","2017-10","AFR","Africa",1695,NA
"Measles","All cases","Reported cases","N","2017-11","AFR","Africa",1315,NA
"Measles","All cases","Reported cases","N","2017-12","AFR","Africa",1396,NA
"Measles","All cases","Reported cases","N","2018-01","AFR","Africa",2990,NA
"Measles","All cases","Reported cases","N","2018-02","AFR","Africa",4285,NA
"Measles","All cases","Reported cases","N","2018-03","AFR","Africa",5092,NA
"Measles","All cases","Reported cases","N","2018-04","AFR","Africa",3579,NA
"Measles","All cases","Reported cases","N","2018-05","AFR","Africa",2544,NA
"Measles","All cases","Reported cases","N","2018-06","AFR","Africa",1553,NA
"Measles","All cases","Reported cases","N","2018-07","AFR","Africa",1586,NA
"Measles","All cases","Reported cases","N","2018-08","AFR","Africa",1274,NA
"Measles","All cases","Reported cases","N","2018-09","AFR","Africa",1906,NA
"Measles","All cases","Reported cases","N","2018-10","AFR","Africa",4773,NA
"Measles","All cases","Reported cases","N","2018-11","AFR","Africa",8200,NA
"Measles","All cases","Reported cases","N","2018-12","AFR","Africa",4385,NA
"Measles","All cases","Reported cases","N","2019-01","AFR","Africa",57477,NA
"Measles","All cases","Reported cases","N","2019-02","AFR","Africa",78505,NA
"Measles","All cases","Reported cases","N","2019-03","AFR","Africa",74198,NA
"Measles","All cases","Reported cases","N","2019-04","AFR","Africa",35905,NA
"Measles","All cases","Reported cases","N","2019-05","AFR","Africa",14243,NA
"Measles","All cases","Reported cases","N","2019-06","AFR","Africa",5745,NA
"Measles","All cases","Reported cases","N","2019-07","AFR","Africa",5433,NA
"Measles","All cases","Reported cases","N","2019-08","AFR","Africa",3189,NA
"Measles","All cases","Reported cases","N","2019-09","AFR","Africa",2968,NA
"Measles","All cases","Reported cases","N","2019-10","AFR","Africa",3955,NA
"Measles","All cases","Reported cases","N","2019-11","AFR","Africa",4678,NA
"Measles","All cases","Reported cases","N","2019-12","AFR","Africa",3470,NA
"Measles","All cases","Reported cases","N","2020-01","AFR","Africa",13445,NA
"Measles","All cases","Reported cases","N","2020-02","AFR","Africa",13630,NA
"Measles","All cases","Reported cases","N","2020-03","AFR","Africa",9116,NA
"Measles","All cases","Reported cases","N","2020-04","AFR","Africa",3330,NA
"Measles","All cases","Reported cases","N","2020-05","AFR","Africa",1425,NA
"Measles","All cases","Reported cases","N","2020-06","AFR","Africa",1024,NA
"Measles","All cases","Reported cases","N","2020-07","AFR","Africa",649,NA
"Measles","All cases","Reported cases","N","2020-08","AFR","Africa",624,NA
"Measles","All cases","Reported cases","N","2020-09","AFR","Africa",684,NA
"Measles","All cases","Reported cases","N","2020-10","AFR","Africa",793,NA
"Measles","All cases","Reported cases","N","2020-11","AFR","Africa",1087,NA
"Measles","All cases","Reported cases","N","2020-12","AFR","Africa",940,NA
"Measles","All cases","Reported cases","N","2021-01","AFR","Africa",2039,NA
"Measles","All cases","Reported cases","N","2021-02","AFR","Africa",2286,NA
"Measles","All cases","Reported cases","N","2021-03","AFR","Africa",2858,NA
"Measles","All cases","Reported cases","N","2021-04","AFR","Africa",2961,NA
"Measles","All cases","Reported cases","N","2021-05","AFR","Africa",2662,NA
"Measles","All cases","Reported cases","N","2021-06","AFR","Africa",2297,NA
"Measles","All cases","Reported cases","N","2021-07","AFR","Africa",2192,NA
"Measles","All cases","Reported cases","N","2021-08","AFR","Africa",2341,NA
"Measles","All cases","Reported cases","N","2021-09","AFR","Africa",1907,NA
"Measles","All cases","Reported cases","N","2021-10","AFR","Africa",1885,NA
"Measles","All cases","Reported cases","N","2021-11","AFR","Africa",1509,NA
"Measles","All cases","Reported cases","N","2021-12","AFR","Africa",1555,NA
"Measles","All cases","Reported cases","N","2022-01","AFR","Africa",8253,NA
"Measles","All cases","Reported cases","N","2022-02","AFR","Africa",9882,NA
"Measles","All cases","Reported cases","N","2022-03","AFR","Africa",10183,NA
"Measles","All cases","Reported cases","N","2022-04","AFR","Africa",5814,NA
"Measles","All cases","Reported cases","N","2022-05","AFR","Africa",5156,NA
"Measles","All cases","Reported cases","N","2022-06","AFR","Africa",4017,NA
"Measles","All cases","Reported cases","N","2022-07","AFR","Africa",3854,NA
"Measles","All cases","Reported cases","N","2022-08","AFR","Africa",5933,NA
"Measles","All cases","Reported cases","N","2022-09","AFR","Africa",3605,NA
"Measles","All cases","Reported cases","N","2022-10","AFR","Africa",3219,NA
"Measles","All cases","Reported cases","N","2022-11","AFR","Africa",3247,NA
"Measles","All cases","Reported cases","N","2022-12","AFR","Africa",1759,NA
"Measles","All cases","Reported cases","N","2023-01","AFR","Africa",7306,NA
"Measles","All cases","Reported cases","N","2023-02","AFR","Africa",8639,NA
"Measles","All cases","Reported cases","N","2023-03","AFR","Africa",10654,NA
"Measles","All cases","Reported cases","N","2023-04","AFR","Africa",9071,NA
"Measles","All cases","Reported cases","N","2023-05","AFR","Africa",8906,NA
"Measles","All cases","Reported cases","N","2023-06","AFR","Africa",5844,NA
"Measles","All cases","Reported cases","N","2023-07","AFR","Africa",4328,NA
"Measles","All cases","Reported cases","N","2023-08","AFR","Africa",5074,NA
"Measles","All cases","Reported cases","N","2023-09","AFR","Africa",4857,NA
"Measles","All cases","Reported cases","N","2023-10","AFR","Africa",4387,NA
"Measles","All cases","Reported cases","N","2023-11","AFR","Africa",2071,NA
"Measles","All cases","Reported cases","N","2023-12","AFR","Africa",247,NA
"Measles","All cases","Reported cases","N","2011-01","AGO","Angola",40,NA
"Measles","All cases","Reported cases","N","2011-02","AGO","Angola",23,NA
"Measles","All cases","Reported cases","N","2011-03","AGO","Angola",43,NA
"Measles","All cases","Reported cases","N","2011-04","AGO","Angola",94,NA
"Measles","All cases","Reported cases","N","2011-05","AGO","Angola",20,NA
"Measles","All cases","Reported cases","N","2011-06","AGO","Angola",33,NA
"Measles","All cases","Reported cases","N","2011-07","AGO","Angola",24,NA
"Measles","All cases","Reported cases","N","2011-08","AGO","Angola",62,NA
"Measles","All cases","Reported cases","N","2011-09","AGO","Angola",52,NA
"Measles","All cases","Reported cases","N","2011-10","AGO","Angola",27,NA
"Measles","All cases","Reported cases","N","2011-11","AGO","Angola",18,NA
"Measles","All cases","Reported cases","N","2011-12","AGO","Angola",0,NA
"Measles","All cases","Reported cases","N","2012-01","AGO","Angola",373,NA
"Measles","All cases","Reported cases","N","2012-02","AGO","Angola",291,NA
"Measles","All cases","Reported cases","N","2012-03","AGO","Angola",381,NA
"Measles","All cases","Reported cases","N","2012-04","AGO","Angola",391,NA
"Measles","All cases","Reported cases","N","2012-05","AGO","Angola",548,NA
"Measles","All cases","Reported cases","N","2012-06","AGO","Angola",357,NA
"Measles","All cases","Reported cases","N","2012-07","AGO","Angola",382,NA
"Measles","All cases","Reported cases","N","2012-08","AGO","Angola",553,NA
"Measles","All cases","Reported cases","N","2012-09","AGO","Angola",569,NA
"Measles","All cases","Reported cases","N","2012-10","AGO","Angola",368,NA
"Measles","All cases","Reported cases","N","2012-11","AGO","Angola",220,NA
"Measles","All cases","Reported cases","N","2012-12","AGO","Angola",15,NA
"Measles","All cases","Reported cases","N","2013-01","AGO","Angola",724,NA
"Measles","All cases","Reported cases","N","2013-02","AGO","Angola",645,NA
"Measles","All cases","Reported cases","N","2013-03","AGO","Angola",735,NA
"Measles","All cases","Reported cases","N","2013-04","AGO","Angola",493,NA
"Measles","All cases","Reported cases","N","2013-05","AGO","Angola",725,NA
"Measles","All cases","Reported cases","N","2013-06","AGO","Angola",698,NA
"Measles","All cases","Reported cases","N","2013-07","AGO","Angola",682,NA
"Measles","All cases","Reported cases","N","2013-08","AGO","Angola",661,NA
"Measles","All cases","Reported cases","N","2013-09","AGO","Angola",564,NA
"Measles","All cases","Reported cases","N","2013-10","AGO","Angola",289,NA
"Measles","All cases","Reported cases","N","2013-11","AGO","Angola",265,NA
"Measles","All cases","Reported cases","N","2013-12","AGO","Angola",81,NA
"Measles","All cases","Reported cases","N","2014-01","AGO","Angola",1161,NA
"Measles","All cases","Reported cases","N","2014-02","AGO","Angola",1101,NA
"Measles","All cases","Reported cases","N","2014-03","AGO","Angola",1320,NA
"Measles","All cases","Reported cases","N","2014-04","AGO","Angola",1095,NA
"Measles","All cases","Reported cases","N","2014-05","AGO","Angola",1755,NA
"Measles","All cases","Reported cases","N","2014-06","AGO","Angola",1150,NA
"Measles","All cases","Reported cases","N","2014-07","AGO","Angola",1484,NA
"Measles","All cases","Reported cases","N","2014-08","AGO","Angola",1431,NA
"Measles","All cases","Reported cases","N","2014-09","AGO","Angola",1098,NA
"Measles","All cases","Reported cases","N","2014-10","AGO","Angola",374,NA
"Measles","All cases","Reported cases","N","2014-11","AGO","Angola",28,NA
"Measles","All cases","Reported cases","N","2014-12","AGO","Angola",12,NA
"Measles","All cases","Reported cases","N","2015-01","AGO","Angola",4,NA
"Measles","All cases","Reported cases","N","2015-02","AGO","Angola",15,NA
"Measles","All cases","Reported cases","N","2015-03","AGO","Angola",0,NA
"Measles","All cases","Reported cases","N","2015-04","AGO","Angola",0,NA
"Measles","All cases","Reported cases","N","2015-05","AGO","Angola",3,NA
"Measles","All cases","Reported cases","N","2015-06","AGO","Angola",3,NA
"Measles","All cases","Reported cases","N","2015-07","AGO","Angola",4,NA
"Measles","All cases","Reported cases","N","2015-08","AGO","Angola",13,NA
"Measles","All cases","Reported cases","N","2015-09","AGO","Angola",40,NA
"Measles","All cases","Reported cases","N","2015-10","AGO","Angola",14,NA
"Measles","All cases","Reported cases","N","2015-11","AGO","Angola",5,NA
"Measles","All cases","Reported cases","N","2015-12","AGO","Angola",2,NA
"Measles","All cases","Reported cases","N","2016-01","AGO","Angola",3,NA
"Measles","All cases","Reported cases","N","2016-02","AGO","Angola",2,NA
"Measles","All cases","Reported cases","N","2016-03","AGO","Angola",0,NA
"Measles","All cases","Reported cases","N","2016-04","AGO","Angola",4,NA
"Measles","All cases","Reported cases","N","2016-05","AGO","Angola",6,NA
"Measles","All cases","Reported cases","N","2016-06","AGO","Angola",2,NA
"Measles","All cases","Reported cases","N","2016-07","AGO","Angola",5,NA
"Measles","All cases","Reported cases","N","2016-08","AGO","Angola",11,NA
"Measles","All cases","Reported cases","N","2016-09","AGO","Angola",5,NA
"Measles","All cases","Reported cases","N","2016-10","AGO","Angola",1,NA
"Measles","All cases","Reported cases","N","2016-11","AGO","Angola",5,NA
"Measles","All cases","Reported cases","N","2016-12","AGO","Angola",7,NA
"Measles","All cases","Reported cases","N","2017-01","AGO","Angola",1,NA
"Measles","All cases","Reported cases","N","2017-02","AGO","Angola",7,NA
"Measles","All cases","Reported cases","N","2017-03","AGO","Angola",2,NA
"Measles","All cases","Reported cases","N","2017-04","AGO","Angola",0,NA
"Measles","All cases","Reported cases","N","2017-05","AGO","Angola",3,NA
"Measles","All cases","Reported cases","N","2017-06","AGO","Angola",2,NA
"Measles","All cases","Reported cases","N","2017-07","AGO","Angola",1,NA
"Measles","All cases","Reported cases","N","2017-08","AGO","Angola",1,NA
"Measles","All cases","Reported cases","N","2017-09","AGO","Angola",2,NA
"Measles","All cases","Reported cases","N","2017-10","AGO","Angola",0,NA
"Measles","All cases","Reported cases","N","2017-11","AGO","Angola",2,NA
"Measles","All cases","Reported cases","N","2017-12","AGO","Angola",6,NA
"Measles","All cases","Reported cases","N","2018-01","AGO","Angola",4,NA
"Measles","All cases","Reported cases","N","2018-02","AGO","Angola",9,NA
"Measles","All cases","Reported cases","N","2018-03","AGO","Angola",26,NA
"Measles","All cases","Reported cases","N","2018-04","AGO","Angola",40,NA
"Measles","All cases","Reported cases","N","2018-05","AGO","Angola",15,NA
"Measles","All cases","Reported cases","N","2018-06","AGO","Angola",15,NA
"Measles","All cases","Reported cases","N","2018-07","AGO","Angola",18,NA
"Measles","All cases","Reported cases","N","2018-08","AGO","Angola",38,NA
"Measles","All cases","Reported cases","N","2018-09","AGO","Angola",35,NA
"Measles","All cases","Reported cases","N","2018-10","AGO","Angola",60,NA
"Measles","All cases","Reported cases","N","2018-11","AGO","Angola",21,NA
"Measles","All cases","Reported cases","N","2018-12","AGO","Angola",10,NA
"Measles","All cases","Reported cases","N","2019-01","AGO","Angola",123,NA
"Measles","All cases","Reported cases","N","2019-02","AGO","Angola",95,NA
"Measles","All cases","Reported cases","N","2019-03","AGO","Angola",278,NA
"Measles","All cases","Reported cases","N","2019-04","AGO","Angola",994,NA
"Measles","All cases","Reported cases","N","2019-05","AGO","Angola",1327,NA
"Measles","All cases","Reported cases","N","2019-06","AGO","Angola",19,NA
"Measles","All cases","Reported cases","N","2019-07","AGO","Angola",10,NA
"Measles","All cases","Reported cases","N","2019-08","AGO","Angola",33,NA
"Measles","All cases","Reported cases","N","2019-09","AGO","Angola",28,NA
"Measles","All cases","Reported cases","N","2019-10","AGO","Angola",37,NA
"Measles","All cases","Reported cases","N","2019-11","AGO","Angola",13,NA
"Measles","All cases","Reported cases","N","2019-12","AGO","Angola",23,NA
"Measles","All cases","Reported cases","N","2020-01","AGO","Angola",139,NA
"Measles","All cases","Reported cases","N","2020-02","AGO","Angola",155,NA
"Measles","All cases","Reported cases","N","2020-03","AGO","Angola",136,NA
"Measles","All cases","Reported cases","N","2020-04","AGO","Angola",235,NA
"Measles","All cases","Reported cases","N","2020-05","AGO","Angola",195,NA
"Measles","All cases","Reported cases","N","2020-06","AGO","Angola",119,NA
"Measles","All cases","Reported cases","N","2020-07","AGO","Angola",43,NA
"Measles","All cases","Reported cases","N","2020-08","AGO","Angola",16,NA
"Measles","All cases","Reported cases","N","2020-09","AGO","Angola",29,NA
"Measles","All cases","Reported cases","N","2020-10","AGO","Angola",9,NA
"Measles","All cases","Reported cases","N","2020-11","AGO","Angola",2,NA
"Measles","All cases","Reported cases","N","2020-12","AGO","Angola",6,NA
"Measles","All cases","Reported cases","N","2021-01","AGO","Angola",9,NA
"Measles","All cases","Reported cases","N","2021-02","AGO","Angola",32,NA
"Measles","All cases","Reported cases","N","2021-03","AGO","Angola",19,NA
"Measles","All cases","Reported cases","N","2021-04","AGO","Angola",29,NA
"Measles","All cases","Reported cases","N","2021-05","AGO","Angola",24,NA
"Measles","All cases","Reported cases","N","2021-06","AGO","Angola",18,NA
"Measles","All cases","Reported cases","N","2021-07","AGO","Angola",51,NA
"Measles","All cases","Reported cases","N","2021-08","AGO","Angola",37,NA
"Measles","All cases","Reported cases","N","2021-09","AGO","Angola",51,NA
"Measles","All cases","Reported cases","N","2021-10","AGO","Angola",29,NA
"Measles","All cases","Reported cases","N","2021-11","AGO","Angola",31,NA
"Measles","All cases","Reported cases","N","2021-12","AGO","Angola",5,NA
"Measles","All cases","Reported cases","N","2022-01","AGO","Angola",45,NA
"Measles","All cases","Reported cases","N","2022-02","AGO","Angola",60,NA
"Measles","All cases","Reported cases","N","2022-03","AGO","Angola",123,NA
"Measles","All cases","Reported cases","N","2022-04","AGO","Angola",122,NA
"Measles","All cases","Reported cases","N","2022-05","AGO","Angola",200,NA
"Measles","All cases","Reported cases","N","2022-06","AGO","Angola",354,NA
"Measles","All cases","Reported cases","N","2022-07","AGO","Angola",640,NA
"Measles","All cases","Reported cases","N","2022-08","AGO","Angola",458,NA
"Measles","All cases","Reported cases","N","2022-09","AGO","Angola",498,NA
"Measles","All cases","Reported cases","N","2022-10","AGO","Angola",351,NA
"Measles","All cases","Reported cases","N","2022-11","AGO","Angola",314,NA
"Measles","All cases","Reported cases","N","2022-12","AGO","Angola",102,NA
"Measles","All cases","Reported cases","N","2023-01","AGO","Angola",243,NA
"Measles","All cases","Reported cases","N","2023-02","AGO","Angola",373,NA
"Measles","All cases","Reported cases","N","2023-03","AGO","Angola",244,NA
"Measles","All cases","Reported cases","N","2023-04","AGO","Angola",311,NA
"Measles","All cases","Reported cases","N","2023-05","AGO","Angola",304,NA
"Measles","All cases","Reported cases","N","2023-06","AGO","Angola",251,NA
"Measles","All cases","Reported cases","N","2023-07","AGO","Angola",311,NA
"Measles","All cases","Reported cases","N","2023-08","AGO","Angola",317,NA
"Measles","All cases","Reported cases","N","2023-09","AGO","Angola",93,NA
"Measles","All cases","Reported cases","N","2023-10","AGO","Angola",37,NA
"Measles","All cases","Reported cases","N","2023-11","AGO","Angola",0,NA
"Measles","All cases","Reported cases","N","2023-12","AGO","Angola",0,NA
"Measles","All cases","Reported cases","N","2011-01","BDI","Burundi",6,NA
"Measles","All cases","Reported cases","N","2011-02","BDI","Burundi",2,NA
"Measles","All cases","Reported cases","N","2011-03","BDI","Burundi",9,NA
"Measles","All cases","Reported cases","N","2011-04","BDI","Burundi",4,NA
"Measles","All cases","Reported cases","N","2011-05","BDI","Burundi",2,NA
"Measles","All cases","Reported cases","N","2011-06","BDI","Burundi",5,NA
"Measles","All cases","Reported cases","N","2011-07","BDI","Burundi",19,NA
"Measles","All cases","Reported cases","N","2011-08","BDI","Burundi",12,NA
"Measles","All cases","Reported cases","N","2011-09","BDI","Burundi",2,NA
"Measles","All cases","Reported cases","N","2011-10","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2011-11","BDI","Burundi",2,NA
"Measles","All cases","Reported cases","N","2011-12","BDI","Burundi",2,NA
"Measles","All cases","Reported cases","N","2012-01","BDI","Burundi",4,NA
"Measles","All cases","Reported cases","N","2012-02","BDI","Burundi",3,NA
"Measles","All cases","Reported cases","N","2012-03","BDI","Burundi",10,NA
"Measles","All cases","Reported cases","N","2012-04","BDI","Burundi",19,NA
"Measles","All cases","Reported cases","N","2012-05","BDI","Burundi",7,NA
"Measles","All cases","Reported cases","N","2012-06","BDI","Burundi",1,NA
"Measles","All cases","Reported cases","N","2012-07","BDI","Burundi",1,NA
"Measles","All cases","Reported cases","N","2012-08","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2012-09","BDI","Burundi",1,NA
"Measles","All cases","Reported cases","N","2012-10","BDI","Burundi",3,NA
"Measles","All cases","Reported cases","N","2012-11","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2012-12","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2013-01","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2013-02","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2013-03","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2013-04","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2013-05","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2013-06","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2013-07","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2013-08","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2013-09","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2013-10","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2013-11","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2013-12","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2014-01","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2014-02","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2014-03","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2014-04","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2014-05","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2014-06","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2014-07","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2014-08","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2014-09","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2014-10","BDI","Burundi",2,NA
"Measles","All cases","Reported cases","N","2014-11","BDI","Burundi",2,NA
"Measles","All cases","Reported cases","N","2014-12","BDI","Burundi",4,NA
"Measles","All cases","Reported cases","N","2015-01","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2015-02","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2015-03","BDI","Burundi",2,NA
"Measles","All cases","Reported cases","N","2015-04","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2015-05","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2015-06","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2015-07","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2015-08","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2015-09","BDI","Burundi",5,NA
"Measles","All cases","Reported cases","N","2015-10","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2015-11","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2015-12","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2016-01","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2016-02","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2016-03","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2016-04","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2016-05","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2016-06","BDI","Burundi",1,NA
"Measles","All cases","Reported cases","N","2016-07","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2016-08","BDI","Burundi",1,NA
"Measles","All cases","Reported cases","N","2016-09","BDI","Burundi",3,NA
"Measles","All cases","Reported cases","N","2016-10","BDI","Burundi",9,NA
"Measles","All cases","Reported cases","N","2016-11","BDI","Burundi",2,NA
"Measles","All cases","Reported cases","N","2016-12","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2017-01","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2017-02","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2017-03","BDI","Burundi",0,NA
"Measles","All cases","Reported cases","N","2017-04","BDI","Burundi",1,NA
"Measles","All cases","Reported cases","N","2017-05","BDI","Burundi",1,NA
"Measles","All cases","Reported cases","N","2017-06","BDI","Burundi",0,NA
